"";"time";"Aceh_actual";"Aceh_trendHP";"Aceh_cycleHP";"Bali_actual";"Bali_trendHP";"Bali_cycleHP";"Bangka.Belitung_actual";"Bangka.Belitung_trendHP";"Bangka.Belitung_cycleHP";"Banten_actual";"Banten_trendHP";"Banten_cycleHP";"Bengkulu_actual";"Bengkulu_trendHP";"Bengkulu_cycleHP";"Central.Java_actual";"Central.Java_trendHP";"Central.Java_cycleHP";"Central.Kalimantan_actual";"Central.Kalimantan_trendHP";"Central.Kalimantan_cycleHP";"Central.Sulawesi_actual";"Central.Sulawesi_trendHP";"Central.Sulawesi_cycleHP";"East.Java_actual";"East.Java_trendHP";"East.Java_cycleHP";"East.Kalimantan_actual";"East.Kalimantan_trendHP";"East.Kalimantan_cycleHP";"East.Nusa.Tenggara_actual";"East.Nusa.Tenggara_trendHP";"East.Nusa.Tenggara_cycleHP";"Gorontalo_actual";"Gorontalo_trendHP";"Gorontalo_cycleHP";"Indonesia_actual";"Indonesia_trendHP";"Indonesia_cycleHP";"Jakarta_actual";"Jakarta_trendHP";"Jakarta_cycleHP";"Jambi_actual";"Jambi_trendHP";"Jambi_cycleHP";"Lampung_actual";"Lampung_trendHP";"Lampung_cycleHP";"Maluku_actual";"Maluku_trendHP";"Maluku_cycleHP";"North.Kalimantan_actual";"North.Kalimantan_trendHP";"North.Kalimantan_cycleHP";"North.Maluku_actual";"North.Maluku_trendHP";"North.Maluku_cycleHP";"North.Sulawesi_actual";"North.Sulawesi_trendHP";"North.Sulawesi_cycleHP";"North.Sumatera_actual";"North.Sumatera_trendHP";"North.Sumatera_cycleHP";"Papua_actual";"Papua_trendHP";"Papua_cycleHP";"Riau_actual";"Riau_trendHP";"Riau_cycleHP";"Riau.Islands_actual";"Riau.Islands_trendHP";"Riau.Islands_cycleHP";"South.Kalimantan_actual";"South.Kalimantan_trendHP";"South.Kalimantan_cycleHP";"South.Sulawesi_actual";"South.Sulawesi_trendHP";"South.Sulawesi_cycleHP";"South.Sumatera_actual";"South.Sumatera_trendHP";"South.Sumatera_cycleHP";"Southeast.Sulawesi_actual";"Southeast.Sulawesi_trendHP";"Southeast.Sulawesi_cycleHP";"West.Java_actual";"West.Java_trendHP";"West.Java_cycleHP";"West.Kalimantan_actual";"West.Kalimantan_trendHP";"West.Kalimantan_cycleHP";"West.Nusa.Tenggara_actual";"West.Nusa.Tenggara_trendHP";"West.Nusa.Tenggara_cycleHP";"West.Papua_actual";"West.Papua_trendHP";"West.Papua_cycleHP";"West.Sulawesi_actual";"West.Sulawesi_trendHP";"West.Sulawesi_cycleHP";"West.Sumatera_actual";"West.Sumatera_trendHP";"West.Sumatera_cycleHP";"Yogyakarta_actual";"Yogyakarta_trendHP";"Yogyakarta_cycleHP"
"1";"2010_q1";1704.55734262651;1704.70397830361;-0.146635677099539;1693.41166705735;1694.34481753353;-0.933150476182846;1596.64187022005;1598.74664836704;-2.10477814698697;1800.04035310457;1801.35001566933;-1.3096625647629;1573.68528789754;1575.52455625054;-1.83926835299098;1884.56906905765;1884.52864019151;0.0404288661416103;1646.65217919748;1644.19428819703;2.45789100045386;1631.03629478358;1633.69195017106;-2.6556553874766;1928.81656144739;1930.67571567583;-1.85915422843868;1836.28897122872;1838.65712321491;-2.3681519861841;1614.50965934018;1618.51989153563;-4.01023219545482;1518.16172511944;1514.83685778992;3.32486732951429;1431.16425369291;1433.70050296259;-2.53624926968109;1937.64698077478;1938.78399784806;-1.13701707327596;1689.65864097961;1691.57110751471;-1.91246653509279;1741.56524683014;1743.16456310331;-1.59931627316882;1530.48974226709;1531.97398891089;-1.48424664380332;1592.87059812421;1595.95675894923;-3.08616082501999;1510.64111516365;1511.41481661444;-0.773701450788622;1627.52895372463;1633.66853367865;-6.13957995402006;1821.62468901836;1821.45928673643;0.165402281921388;1703.79420320131;1706.88297598088;-3.08877277956753;1832.09684052693;1838.5600706646;-6.46323013767483;1712.27114027486;1711.8647026649;0.406437609963405;1676.94654098895;1685.3742246166;-8.42768362764946;1751.42108984152;1754.76146402335;-3.34037418183539;1764.62999122008;1767.99931630913;-3.36932508905124;1623.10378231859;1628.42466070898;-5.32087839039309;1921.32126869189;1922.10450863714;-0.783239945243395;1684.85455714401;1685.5829757043;-0.728418560287537;1664.51855960631;1661.1768052848;3.34175432151096;1600.19268224683;1611.03623690271;-10.8435546558833;1520.39110765765;1525.09744405563;-4.70633639797597;1705.16059093436;1706.17780965541;-1.01721872105418;1656.95519640875;1657.62350783469;-0.6683114259381
"2";"2010_q2";1704.51939615892;1705.36327722804;-0.843881069126382;1695.61313033658;1696.02033878199;-0.407208445408969;1599.12106863865;1600.14072627493;-1.01965763627663;1801.69883980224;1802.96284050245;-1.26400070021441;1575.75683383096;1577.0946206735;-1.33778684253775;1886.20226999535;1885.81257658733;0.389693408016456;1644.71481528724;1645.84495852442;-1.13014323717834;1634.97189450141;1636.03422422992;-1.06232972851058;1932.47833830628;1932.21665915756;0.261679148718031;1836.91179992663;1839.59580034839;-2.6840004217529;1619.13164291719;1619.92271269496;-0.7910697777736;1513.47256144883;1516.61612397849;-3.14356252965808;1435.1496197266;1435.12505490729;0.0245648193047145;1940.00398341792;1940.34831727559;-0.34433385767602;1693.26105443133;1693.31793915988;-0.0568847285439915;1746.57761868712;1744.57834174523;1.99927694188773;1533.52019023637;1533.5375814996;-0.0173912632376414;1596.0718728419;1597.85762570204;-1.78575286014006;1512.99629335271;1513.00313366406;-0.0068403113500608;1635.99347141975;1635.38200899622;0.611462423526291;1821.19784893376;1822.95601209231;-1.75816315855718;1704.06424821698;1707.66035808972;-3.59610987274755;1836.84083433441;1839.53532834114;-2.69449400673511;1713.05074337919;1713.60360706739;-0.552863688196112;1687.80965944764;1686.89730045315;0.91235899448975;1757.83219868882;1756.73629975946;1.0958989293531;1769.75965333157;1769.45789597008;0.30175736149863;1630.53382462229;1630.74040459583;-0.206579973545558;1923.331829207;1923.6050806553;-0.273251448300016;1684.69599372778;1687.06175143349;-2.36575770571494;1664.97328822405;1661.74088967399;3.23239855005454;1611.46866879409;1612.4391340687;-0.970465274609523;1526.44254843854;1527.28166745725;-0.839119018712154;1706.71663708974;1707.69890849988;-0.982271410139447;1656.00360737264;1658.95226684175;-2.94865946910727
"3";"2010_q3";1705.15614910256;1706.02248450519;-0.866335402625282;1699.28076608162;1697.6952768114;1.58548927021957;1601.47549027518;1601.53348869648;-0.0579984212984073;1804.66686850026;1804.57484679647;0.0920217037894417;1578.79387624401;1578.66353555374;0.130340690268213;1889.54655426696;1887.0965382512;2.45001601576655;1647.50155322974;1647.49716503368;0.00438819605938079;1639.19859448078;1638.37483850417;0.823755976612574;1936.05854792198;1933.75644066789;2.3021072540821;1837.55062387978;1840.53299738687;-2.98237350709087;1623.60040991947;1621.32302745917;2.27738246030117;1520.02612875478;1518.39746820913;1.62866054565052;1438.93728944679;1436.5480216962;2.38926775058803;1941.94862291067;1941.91192606746;0.0366968432160775;1695.11505371825;1695.06357551346;0.0514782047889639;1748.48545180938;1745.99112081448;2.49433099489124;1535.52446332352;1535.10024643416;0.424216889361105;1600.60505849475;1599.75656360433;0.848494890411303;1515.11892376966;1514.59096715028;0.52795661938012;1639.79532516639;1637.09164707633;2.70367809006007;1824.3271665912;1824.45284082462;-0.125674233418522;1722.15266025333;1708.43580971558;13.716850537754;1842.13510652368;1840.50654649885;1.62856002483318;1714.05569275282;1715.34276549338;-1.28707274056273;1695.36458514366;1688.41510898743;6.94947615623164;1761.92531639087;1758.70904776171;3.21626862916014;1774.44736364766;1770.91436980284;3.53299384482125;1632.7385040634;1633.05282293368;-0.314318870288162;1925.52670678601;1925.10516314849;0.421543637519335;1689.67310883157;1688.54007190109;1.1330369304826;1672.70569650117;1662.30706265964;10.3986338415241;1623.5513607537;1613.83525401303;9.71610674067392;1529.96702467162;1529.46294939862;0.504075272993759;1710.11413374905;1709.21937158265;0.894762166400596;1663.82199885687;1660.28060815416;3.54139070271003
"4";"2010_q4";1705.65098259315;1706.68098106206;-1.02999846891817;1699.49990362126;1699.36879389744;0.13110972382492;1602.84662743235;1602.92298285932;-0.0763554269697124;1806.68160720689;1806.18442601185;0.497181195036774;1581.17412170272;1580.22931523176;0.944806470957928;1885.25801080847;1888.38079400952;-3.12278320105338;1646.71274493338;1649.15173756718;-2.43899263379399;1644.55973112886;1640.7114692531;3.84826187576323;1933.54187409574;1935.29406178491;-1.75218768917011;1840.40513736345;1841.46555673512;-1.06041937166742;1626.32196586883;1622.71783501452;3.60413085431446;1515.61178451713;1520.18100379735;-4.56921928022666;1436.79779425503;1437.96783352654;-1.17003927151109;1944.07284434081;1943.47389837932;0.598945961487971;1696.19204019345;1696.80678573092;-0.61474553746757;1740.58495852641;1747.40315028648;-6.81819176007002;1537.57675868781;1536.66104519087;0.915713496935041;1603.03653390151;1601.65052771006;1.38600619144631;1515.64321168388;1516.1778292345;-0.534617550620169;1645.84036011015;1638.79399284551;7.04636726464332;1825.42361428436;1825.9487774578;-0.525163173440887;1723.05229280446;1709.20515280679;13.8471399976688;1845.1155318009;1841.46800156013;3.64753024076822;1716.8654950127;1717.08208642658;-0.216591413884771;1689.18880937732;1689.92295314154;-0.734143764226928;1758.61504926885;1760.67830523306;-2.0632559642072;1769.7785665055;1772.36682057759;-2.58825407208633;1636.63816976505;1635.35846106106;1.27970870398167;1925.36636285148;1926.6040958096;-1.23773295811816;1694.19852017456;1690.01600324691;4.18251692764579;1669.36074036548;1662.87943308729;6.48130727819625;1623.5572942991;1615.21721297324;8.34008132586109;1532.08427373936;1531.63782397011;0.446449769252695;1711.22583848436;1710.73794922239;0.487889261974942;1662.45150794878;1661.60627116513;0.845236783646214
"5";"2011_q1";1706.92057411414;1707.33760636608;-0.417032251939418;1698.25895111448;1701.04104324657;-2.78209213208356;1602.75191023629;1604.30721974208;-1.55530950579214;1807.90093736683;1807.79002712261;0.110910244219895;1581.4448472378;1581.79005551101;-0.345208273201706;1887.87262053323;1889.66714394875;-1.79452341551223;1651.97433620692;1650.80950870987;1.16482749705392;1641.05855838541;1643.04230758351;-1.98374919809771;1935.4759691243;1936.82996290372;-1.3539937794194;1840.39350434787;1842.38845681441;-1.99495246654533;1620.42158363713;1624.10555791131;-3.68397427418017;1523.89706346756;1521.9678619715;1.92920149605993;1437.44010543679;1439.38441388786;-1.94430845106967;1944.76073659556;1945.03333130237;-0.272594706816335;1696.31375114904;1698.54637114159;-2.23261999254828;1749.87274349069;1748.81623909352;1.05650439716328;1537.21221275976;1538.2193043816;-1.00709162184035;1603.39111795941;1603.53700338247;-0.145885423062055;1515.81109946224;1517.76356205099;-1.95246258874636;1633.0887959737;1640.48728102911;-7.39848505540454;1827.93701928965;1827.44274796992;0.494271319729251;1714.35637121011;1709.97278234329;4.38358886682613;1838.5237998627;1842.41498779741;-3.89118793471721;1716.89727032749;1718.82067393023;-1.92340360273579;1684.15137413161;1691.4204792602;-7.26910512859126;1759.57689950713;1762.64467954437;-3.06778003723866;1770.75989623362;1773.81553918565;-3.05564295202907;1631.71842773362;1637.6536678672;-5.93524013358729;1928.51149571737;1928.10148179628;0.410013921097971;1685.80212563535;1691.48831975889;-5.68619412353883;1663.37583464079;1663.46860894862;-0.0927743078339063;1604.43141346198;1616.58369975359;-12.1522862916115;1532.8190659802;1533.80314030913;-0.984074328922816;1711.82279550282;1712.25395096412;-0.43115546129593;1662.58466091809;1662.92920863703;-0.344547718935928
"6";"2011_q2";1707.78996899917;1707.99055613561;-0.200587136433569;1703.07023824284;1702.71226000884;0.357978234005031;1606.45088219034;1605.68416260124;0.766719589108789;1808.871847303;1809.39040984102;-0.518562538019751;1583.27412169199;1583.34444269894;-0.0703210069543729;1891.70970014448;1890.95543641579;0.754263728686055;1650.91391342137;1652.46978667634;-1.55587325497459;1645.02235452894;1645.36794976585;-0.345595236907684;1938.67924125673;1938.36348930213;0.315751954603684;1841.9204834734;1843.29601328396;-1.37552981056501;1626.28749860105;1625.48687128165;0.800627319396426;1521.96438868191;1523.75631819786;-1.79192951594655;1441.22945144634;1440.79695499519;0.432496451143152;1946.74047387997;1946.58969626904;0.150777610931755;1700.87183506551;1700.28074885886;0.591086206648697;1754.14894054286;1750.22793479804;3.92100574481833;1537.10006839621;1539.77492293916;-2.6748545429416;1604.41069824107;1605.41434223869;-1.00364399761474;1518.64404411869;1519.34767359807;-0.703629479375877;1641.43572336823;1642.17415033202;-0.738426963790062;1827.59937396006;1828.93335011205;-1.33397615199351;1711.43199763687;1710.75174776749;0.680249869376212;1843.47899197593;1843.34507918952;0.133912786414385;1720.2837636508;1720.55749669793;-0.273733047126825;1694.37629730632;1692.90687484824;1.46942245807986;1766.26914740493;1764.60748853153;1.66165887340276;1776.07265330648;1775.25919885955;0.813454446925562;1638.20142199454;1639.93559205927;-1.73417006472823;1928.77224118387;1929.59615068307;-0.82390949920341;1689.27560195055;1692.95840979801;-3.68280784746435;1658.76582917329;1664.08924905239;-5.32341987909922;1614.80884279512;1617.93861570917;-3.12977291404422;1534.7736515378;1535.95602658418;-1.18237504638296;1713.47243634912;1713.76699128364;-0.294554934524058;1662.48831751636;1664.24990160522;-1.7615840888634
"7";"2011_q3";1708.41691300379;1708.63776544385;-0.220852440060071;1705.95448591842;1704.38094052671;1.57354539170274;1608.93844747763;1607.05080262483;1.88764485280308;1811.64415742653;1810.98440319825;0.659754228278871;1585.40271059394;1584.89094734788;0.511763246061264;1895.48518839183;1892.24439818046;3.24079021136617;1655.65407231663;1654.13260769836;1.52146461826851;1649.13843384961;1647.68775222733;1.45068162227972;1941.94424972506;1939.89314001182;2.05110971323734;1844.59439693221;1844.18129495767;0.413101974533902;1628.52767895498;1626.86014777369;1.66753118128736;1527.33989814056;1525.54585369366;1.79404444690817;1444.77657340892;1442.20343387076;2.57313953816015;1948.78576316318;1948.14229434005;0.643468823126113;1701.55735679423;1702.00694060859;-0.449583814362086;1753.28421672603;1751.63644527772;1.64777144830987;1541.37008991546;1541.32717036406;0.042919551399109;1611.54333097711;1607.28080471744;4.26252625966208;1521.74244638892;1520.92845158495;0.813994803972946;1646.06529481313;1643.85261540597;2.21267940716166;1831.16100793068;1830.41949055483;0.741517375852709;1712.8560980653;1711.55783826487;1.29825980042847;1847.19521634507;1844.25341772281;2.94179862225224;1721.38706606879;1722.29032129603;-0.903255227232194;1701.1543030446;1694.37678421982;6.77751882477764;1769.93490414869;1766.5641326679;3.37077148079311;1779.74959089987;1776.69456305498;3.05502784488385;1644.60896119284;1642.19767281934;2.41128837349834;1932.71666189315;1931.08718830324;1.62947358991187;1696.876098347;1694.42410785395;2.45199049305666;1669.77661862257;1664.7559542234;5.02066439917053;1631.71197553513;1619.27826701612;12.4337085190102;1539.67555829723;1538.09299591734;1.58256237989008;1715.87826254406;1715.27641518462;0.601847359444491;1667.59930123872;1665.56861576276;2.03068547595512
"8";"2011_q4";1709.64397942663;1709.27704399704;0.366935429581417;1706.2335303891;1706.04580487905;0.187725510052815;1608.60619122817;1608.40461020063;0.201581027533393;1811.91402827607;1812.5705121239;-0.656483847827985;1585.89563457949;1586.4279960595;-0.532361480005875;1891.10037652327;1893.53322742737;-2.43285090410313;1654.08703951663;1655.79703558691;-1.7099960702742;1652.16849361436;1650.00085539815;2.16763821621089;1939.76992960825;1941.41761140946;-1.64768180120745;1848.53910128404;1845.03651094331;3.50259034073679;1630.51746979279;1628.22426042768;2.29320936511249;1523.83192637083;1527.33482972017;-3.50290334934061;1442.57033209346;1443.60209784709;-1.03176575362932;1949.48796121357;1949.69052081214;-0.202559598570588;1705.65227738021;1703.72233754557;1.92993983464567;1745.30200405405;1753.04242903884;-7.74042498478684;1545.89984198959;1542.87364437277;3.02619761681854;1605.36838618432;1609.13402397998;-3.76563779565458;1524.37823877869;1522.50374395239;1.87449482630427;1652.3957423718;1645.52022938585;6.87551298595258;1831.67593394993;1831.89924223382;-0.223308283888173;1697.81779924949;1712.40726817707;-14.5894689275842;1848.84914135807;1845.13522907916;3.71391227890672;1724.4908937945;1724.01674320773;0.474150586776204;1696.68791719194;1695.82577007811;0.862147113835135;1765.30230763943;1768.51305096363;-3.21074332419562;1776.74592280716;1778.11890363665;-1.37298082949019;1648.56346265153;1644.43226547322;4.1311971783116;1930.73738533595;1932.5731655466;-1.83578021064932;1702.34954655065;1695.88094666145;6.46859988919618;1663.5949366329;1665.47999814903;-1.8850615161241;1621.99169753608;1620.59700374254;1.39469379354546;1542.47790694508;1540.20982244626;2.26808449882628;1716.69171142125;1716.78138357385;-0.0896721526044075;1666.99626055086;1666.88451581263;0.111744738227799
"9";"2012_q1";1710.44761037601;1709.90606346867;0.541546907337533;1704.82294913419;1707.70655661057;-2.88360747638421;1608.65482289024;1609.74423549447;-1.08941260422853;1813.50102328205;1814.14765389394;-0.646630611891169;1587.88459882768;1587.95433528751;-0.0697364598279364;1894.37392359564;1894.82314783504;-0.449224239403065;1658.56735097755;1657.46308506834;1.1042659092152;1651.1971639893;1652.3073063845;-1.11014239520091;1941.76617303502;1942.93688181528;-1.17070878026243;1848.97900014662;1845.85412853738;3.12487160923934;1625.68125413699;1629.57912449084;-3.89787035385234;1530.75563067666;1529.12272881646;1.63290186019867;1443.37079813997;1444.99280246891;-1.62200432894338;1950.2681950342;1951.23417315006;-0.965978115857752;1701.03845172315;1705.42404983465;-4.38559811150526;1754.92782165901;1754.44757444484;0.480247214168003;1544.6183203506;1544.41196950645;0.206350844157214;1607.84842536819;1610.97429726644;-3.12587189824194;1525.00621336421;1524.07190738793;0.934305976286169;1639.63513125719;1647.17592833115;-7.54079707396272;1833.80924406979;1833.37114153293;0.438102536863653;1697.45233614248;1713.3170632581;-15.8647271156228;1843.14730667654;1845.98757756455;-2.84027088800644;1724.62187054392;1725.73379338171;-1.11192283779451;1690.92092204735;1697.25363107555;-6.33270902819891;1769.41349853422;1770.45478916105;-1.04129062682478;1778.05565899659;1779.53140186167;-1.47574286507984;1645.6415185987;1646.63323240194;-0.991713803239236;1933.3951164876;1934.05367172396;-0.658555236362645;1693.63090483045;1697.32599144936;-3.69508661890973;1659.72640940799;1666.2757924319;-6.54938302390315;1624.15137416056;1621.89694702432;2.25442713624466;1543.38411415326;1542.30326941008;1.0808447431798;1717.2106393187;1718.28143351276;-1.07079419405909;1667.26999319584;1668.19803563625;-0.928042440412128
"10";"2012_q2";1711.98808527;1710.52272486684;1.46536040315823;1710.51824569586;1709.36301659446;1.15522910139725;1611.43447215098;1611.0684546603;0.366017490677677;1815.9422309879;1815.71433548195;0.227895505948254;1589.19678890637;1589.46837875969;-0.271589853313571;1897.35863655645;1896.11386255016;1.24477400629348;1658.40742004281;1659.12970212149;-0.722282078676699;1653.54496209747;1654.60850706647;-1.0635449690003;1945.09203387836;1944.44989974839;0.642134129968781;1848.85864348059;1846.62880415536;2.22983932523016;1630.76737303916;1630.92608846626;-0.158715427106472;1530.42150819784;1530.90684420699;-0.485336009146749;1447.25219859829;1446.37475842735;0.877440170938144;1952.72798783519;1952.77292221881;-0.0449343836226035;1706.72768611057;1707.11039385312;-0.382707742554203;1759.15450447905;1755.84873209353;3.30577238552178;1547.75079065001;1545.94166167977;1.80912897024382;1608.91705647673;1612.79956829334;-3.88251181660712;1525.4565972636;1525.63247013835;-0.175872874747256;1647.73619038541;1648.822945497;-1.0867551115989;1833.75912713591;1834.83358526839;-1.07445813248478;1709.64065307786;1714.29513084389;-4.65447776603219;1847.49621322872;1846.80984868016;0.686364548563461;1726.64062877799;1727.43879911078;-0.798170332790733;1700.89074049379;1698.66070470655;2.2300357872457;1774.42399300602;1772.38788628791;2.0361067181052;1782.05456844552;1780.93038087414;1.12418757138585;1648.45969266765;1648.79701798475;-0.337325317098021;1936.34863513794;1935.5271487835;0.821486354444232;1696.47239172174;1698.76035032141;-2.28795859967204;1660.67901794654;1667.15657051119;-6.47755256464188;1627.02060588456;1623.18108968099;3.83951620357061;1545.43812229484;1544.37151760076;1.06660469408507;1719.6750885127;1719.77604601766;-0.100957504965663;1667.74535627894;1669.50967895549;-1.76432267654695
"11";"2012_q3";1712.63186190768;1711.12526766649;1.50659424118544;1712.39706963802;1711.01320344921;1.38386618880986;1613.24255113201;1612.3753629692;0.86718816280063;1818.67875059827;1817.26865971737;1.41009088090141;1591.7694491668;1590.96849661853;0.80095254827188;1899.48650965496;1897.40479395427;2.08171570069385;1662.60069321504;1660.79652289136;1.80417032368314;1655.05932524871;1656.90516548516;-1.84584023645084;1948.57880016304;1945.95488203491;2.62391812812984;1848.04296770536;1847.35714725747;0.685820447887181;1634.48353882375;1632.26406468806;2.21947413569319;1535.01125303865;1532.68548967988;2.32576335877047;1450.54688092899;1447.74616266085;2.80071826814788;1955.10518741649;1954.30583514707;0.799352269416204;1709.50901431644;1708.77694497943;0.732069337013854;1761.130615839;1757.24305273725;3.88756310175245;1547.67945731892;1547.46236577669;0.217091542234357;1613.69505400768;1614.60582710728;-0.910773099599965;1528.05434272745;1527.18554439169;0.86879833576495;1652.54370171263;1650.45980114036;2.08390057226529;1837.66723270302;1836.28524407053;1.38198863249067;1715.34923531581;1715.33946281593;0.00977249988045514;1853.57741061223;1847.59965275785;5.97775785437489;1729.07541227998;1729.12839273595;-0.0529804559639615;1706.02187074604;1700.04337052234;5.97850022369448;1778.22511100605;1774.31023056534;3.91488044071684;1787.59631878118;1782.31324147886;5.28307730231654;1656.66641588017;1650.9194467798;5.74696910037142;1937.85753907433;1936.99162707638;0.865911997951571;1703.71773979238;1700.18282195223;3.53491784014773;1665.61915974804;1668.13147246169;-2.51231271364691;1625.67826079176;1624.45383354904;1.22442724271923;1545.367640232;1546.41342333821;-1.04578310620991;1722.26637289838;1721.2640328585;1.00234003987612;1671.98191416682;1670.81936946569;1.16254470112904
"12";"2012_q4";1712.82823128751;1711.7128471928;1.11538409470722;1712.69996277204;1712.65585781151;0.044104960530376;1614.8485647468;1613.66328445319;1.1852802936121;1818.59927473457;1818.80887186434;-0.209597129770145;1593.54543192018;1592.45288926288;1.09254265730215;1895.85024961047;1898.69614241266;-2.84589280219166;1659.64417250416;1662.46273209668;-2.81855959251607;1663.87892808027;1659.19732496605;4.68160311422685;1946.15479345974;1947.45044683479;-1.29565337505778;1850.26196269026;1848.03716095351;2.22480173674489;1636.04746977995;1633.59186629319;2.45560348675872;1531.29131195097;1534.45667568826;-3.16536373728536;1448.27511418533;1449.10576050792;-0.830646322594021;1956.93011224363;1955.83195097953;1.09816126410192;1714.08144916898;1710.41903939969;3.66240976929021;1752.36164807798;1758.62975323605;-6.26810515806824;1549.38914537609;1548.97485738676;0.414287989329296;1623.60282318767;1616.38663718497;7.21618600270449;1529.20822752238;1528.73113241542;0.477095106957222;1659.54718496516;1652.08433629624;7.46284866892051;1838.12084175951;1837.72411703334;0.396724726176672;1720.26690979585;1716.44514200709;3.8217677887551;1848.61401412658;1848.35502910734;0.25898501923939;1732.11320790208;1730.79870774179;1.31450016029203;1701.88271968466;1701.39940184655;0.483317838104085;1773.09774517953;1776.22098278113;-3.12323760160393;1782.03350027847;1783.67808709788;-1.64458681940459;1656.73889766068;1652.9961325169;3.74276514378971;1938.31904363307;1938.44565038273;-0.126606749659913;1703.87715965129;1701.5907750423;2.28638460898583;1663.47567372457;1669.20558988784;-5.72991616327022;1611.60164673534;1625.72198016258;-14.1203334272425;1551.06031737557;1548.4285095703;2.6318078052675;1723.14862153272;1722.74414270678;0.404478825937986;1673.55395107801;1672.12592816054;1.42802291747194
"13";"2013_q1";1712.95681292987;1712.28556039235;0.671252537516693;1712.57786653269;1714.29058523442;-1.71271870172723;1614.85492760274;1614.93108513687;-0.0761575341223306;1820.78874755543;1820.33409849379;0.454649061640566;1594.30665197166;1593.92025768691;0.386394284752669;1898.44155149323;1899.98940936296;-1.54785786973389;1663.52245932061;1664.12864206261;-0.606182741998964;1661.44075923365;1661.48387518447;-0.0431159508216297;1947.75291769799;1948.93685225682;-1.18393455882642;1851.6010367204;1848.66727699108;2.93375972932495;1630.71662781203;1634.90969358997;-4.19306577793827;1537.88318821376;1536.21986628735;1.66332192641539;1448.76360735034;1450.45404775603;-1.69044040569452;1956.81245146665;1957.35080835605;-0.53835688940103;1710.50859540386;1712.03247084336;-1.52387543950545;1759.4004696479;1760.01048017695;-0.610010529054989;1547.68085379697;1550.48004778178;-2.79919398481115;1617.50185781846;1618.1349927699;-0.6331349514453;1530.39033596055;1530.269779476;0.120556484557028;1646.04421722781;1653.69569443749;-7.6514772096732;1840.15667605965;1839.14906699369;1.0076090659627;1714.2271574532;1717.60725735808;-3.38009990487967;1845.50849339509;1849.07775313699;-3.5692597418963;1732.74392979529;1732.44584450008;0.298085295203919;1697.31273257295;1702.73030856543;-5.41757599248149;1775.25786192332;1778.12175052337;-2.86388860005218;1784.62310863692;1785.02632307654;-0.403214439621024;1650.85321362551;1655.02628078154;-4.17306715603695;1940.00173534007;1939.88830367767;0.113431662405901;1700.84287899218;1702.98378761577;-2.14090862359058;1659.93910030678;1670.38244419863;-10.4433438918572;1621.27293583704;1626.99309632276;-5.7201604857139;1548.51275716205;1550.41564563044;-1.90288846838212;1721.679473086;1724.21575069654;-2.5362776105444;1672.65757777271;1673.42890262415;-0.771324851434656
