ID;Prov;18-Mar;19-Mar;20-Mar;21-Mar;22-Mar;23-Mar;24-Mar;25-Mar;26-Mar;27-Mar;28-Mar;29-Mar;30-Mar;31-Mar;01-Apr;02-Apr;03-Apr;04-Apr;05-Apr;06-Apr;07-Apr;08-Apr;09-Apr;10-Apr;11-Apr;12-Apr;13-Apr;14-Apr;15-Apr;16-Apr;17-Apr;18-Apr;19-Apr;20-Apr;21-Apr;22-Apr;23-Apr;24-Apr;25-Apr;26-Apr;27-Apr;28-Apr;29-Apr;30-Apr;01-May;02-May;03-May;04-May;05-May;06-May;07-May;08-May;09-May;10-May;11-May;12-May;13-May;14-May;15-May;16-May;17-May;18-May;19-May;20-May;21-May;22-May;23-May;24-May;25-May;26-May;27-May;28-May;29-May;30-May;31-May;01-Jun;02-Jun;03-Jun;04-Jun;05-Jun;06-Jun;07-Jun;08-Jun;09-Jun;10-Jun;11-Jun;12-Jun;13-Jun;14-Jun;15-Jun;16-Jun;17-Jun;18-Jun;19-Jun;pop100000;
1;Aceh;0;0;0;0;0;0;0;0;1;4;4;5;5;5;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;6;7;7;7;7;7;8;9;9;9;9;9;10;11;11;12;12;12;17;17;17;17;17;17;17;17;17;17;18;18;18;18;18;18;19;19;19;19;19;19;20;20;20;20;20;20;20;20;20;20;20;20;20;22;22;22;22;27;27;27;37;38;38;54.599;
2;Bali;1;1;4;3;3;6;6;9;9;9;9;10;19;19;25;25;27;32;35;43;43;49;63;75;79;81;86;92;98;113;124;131;135;140;150;152;167;177;183;186;194;215;215;222;235;237;262;271;277;277;287;300;306;311;314;328;332;337;343;346;348;359;363;371;374;380;388;394;396;407;415;420;443;455;465;482;487;490;510;524;557;582;594;608;640;659;695;723;741;760;782;829;895;976;43.808;
3;Bangka Belitung;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;3;3;4;4;4;4;5;6;6;6;7;7;8;8;9;9;9;10;10;10;10;10;19;19;20;20;28;28;28;28;28;29;29;29;29;29;29;29;29;29;29;35;36;36;39;39;39;39;42;42;42;45;46;46;50;62;72;81;98;102;102;121;123;126;132;136;144;144;145;147;147;147;15.176;
4;Banten;17;27;37;43;47;56;65;67;67;84;103;106;128;142;152;164;170;173;177;187;194;212;218;243;279;281;285;280;281;297;311;321;324;341;341;337;337;359;370;370;382;388;388;404;418;427;432;446;458;487;495;505;523;533;541;559;580;593;622;626;650;677;698;699;753;768;768;789;789;807;817;831;845;858;861;867;883;954;965;989;1025;1035;1047;1061;1096;1121;1157;1231;1240;1243;1277;1309;1327;1331;131.605;
5;Bengkulu;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;8;8;8;8;8;8;8;8;12;12;12;12;12;12;12;14;14;14;37;37;37;40;40;42;53;56;65;66;67;67;69;69;69;69;69;69;69;71;72;86;91;91;92;92;92;92;92;92;92;92;92;92;95;98;101;101;104;105;105;107;20.198;
6;Gorontalo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;4;4;4;4;4;7;7;7;12;14;15;14;15;15;15;15;15;15;15;15;15;19;19;19;19;19;19;19;21;22;23;24;28;28;28;44;47;49;58;58;58;60;65;68;69;94;94;108;118;121;121;126;134;134;139;145;149;181;185;185;208;214;214;214;220;12.196;
7;West Papua;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;5;5;5;7;7;7;8;13;15;16;16;16;37;37;37;42;43;43;43;49;53;53;53;53;70;70;70;70;88;88;102;105;105;105;106;110;119;129;130;130;132;132;152;158;162;168;168;172;172;173;175;178;179;179;183;191;195;200;205;208;209;212;214;219;222;9.818;
8;Jakarta;158;210;215;267;307;353;424;463;515;598;627;675;698;747;808;897;971;1028;1124;1232;1369;1470;1706;1753;1948;2044;2186;2335;2474;2670;2815;2924;3032;3097;3260;3383;3517;3599;3684;3798;3869;4002;4092;4175;4317;4397;4463;4539;4687;4770;4855;4955;5056;5190;5276;5375;5554;5688;5774;5881;6010;6059;6155;6236;6301;6400;6515;6634;6709;6798;6895;7001;7128;7229;7348;7485;7541;7623;7690;7766;7870;8033;8121;8355;8503;8650;8740;8861;8978;9120;9222;9349;9516;9655;106.45;
9;Jambi;0;0;0;0;0;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;5;6;7;8;8;8;8;13;13;14;18;21;32;32;32;32;32;32;32;38;38;43;47;47;47;62;64;65;65;65;66;69;79;80;81;84;89;89;91;91;95;97;97;97;97;97;97;97;97;97;97;99;101;103;103;103;103;105;105;106;108;108;108;108;109;109;112;36.779;
10;West Java;24;26;41;55;59;59;60;73;78;98;119;149;180;198;220;223;225;247;252;263;343;365;376;388;421;450;540;530;559;570;632;641;696;747;756;762;784;862;907;912;951;969;1009;1012;1012;1043;1054;1252;1300;1320;1381;1404;1437;1437;1493;1545;1556;1565;1596;1618;1652;1677;1700;1876;1962;2002;2045;2091;2113;2130;2157;2181;2211;2231;2260;2294;2314;2319;2354;2366;2376;2404;2424;2448;2506;2551;2572;2587;2604;2623;2662;2703;2758;2805;499.357;
11;Central Java;8;12;12;14;15;15;19;38;40;43;55;63;81;93;104;104;114;120;120;132;133;140;144;144;144;200;203;278;292;300;304;329;349;351;449;479;538;575;621;649;666;682;711;724;746;767;776;798;849;891;904;933;959;978;980;989;1023;1066;1109;1140;1157;1165;1175;1192;1217;1234;1288;1309;1311;1315;1326;1336;1350;1366;1403;1417;1432;1455;1479;1537;1564;1615;1642;1674;1813;1832;1876;1946;2059;2175;2231;2346;2391;2471;349.401;
12;East Java;8;9;15;26;41;41;51;51;59;66;77;90;91;93;104;104;155;152;188;189;194;196;223;256;267;386;440;475;499;514;522;555;590;590;603;638;664;690;770;785;796;857;872;958;1034;1037;1117;1124;1171;1221;1267;1284;1419;1502;1536;1669;1772;1863;1921;2105;2152;2296;2377;2496;2998;3129;3595;3663;3886;3943;4142;4313;4414;4613;4857;4922;5135;5318;5408;5549;5835;5948;6313;6533;6806;7103;7421;7597;7793;8063;8308;8533;8917;9057;398.863;
13;West Kalimantan;2;2;2;2;2;2;3;3;3;3;3;8;9;9;10;10;10;10;10;12;10;10;10;10;10;13;13;13;13;21;21;21;21;21;27;31;50;50;51;51;51;51;58;58;61;68;70;73;73;90;95;95;118;120;120;123;129;129;129;131;132;132;132;132;133;140;168;168;175;176;183;184;184;184;189;196;196;202;202;205;210;210;210;234;245;245;267;267;268;268;270;282;282;296;51.348;
14;South Kalimantan;0;0;0;0;1;1;1;2;1;1;1;1;5;8;8;8;8;8;16;18;18;22;22;29;29;34;34;37;49;59;74;92;96;96;98;107;114;132;146;146;150;150;157;170;179;179;195;198;212;225;238;246;253;263;263;277;291;294;363;370;372;438;484;547;557;572;590;599;602;630;703;819;893;893;919;948;969;1,033;1,142;1,213;1,247;1,285;1,347;1,438;1,565;1,634;1,694;1,817;1,887;1,953;2,122;2,208;2,326;2,392;43.04;
15;Central Kalimantan;0;0;2;2;2;2;3;3;6;6;7;7;7;9;9;9;12;11;11;20;20;20;20;24;24;24;25;25;33;34;35;41;46;60;67;82;83;94;100;104;112;121;127;145;156;157;157;180;181;186;188;188;189;193;200;204;220;223;227;227;227;227;232;241;254;290;292;308;310;322;330;337;367;398;410;419;428;456;469;484;496;496;504;522;537;552;565;586;586;631;657;702;738;738;27.692;
16;East Kalimantan;1;3;10;9;9;11;11;11;11;11;17;17;17;20;21;21;22;24;30;31;31;32;32;35;35;35;35;35;35;44;44;54;59;63;68;69;74;85;97;105;107;115;119;134;136;154;162;167;168;182;182;209;214;218;225;228;230;238;251;253;254;255;258;264;266;271;274;276;276;277;380;281;285;291;295;297;298;310;316;317;327;329;338;351;362;365;373;376;378;382;392;397;405;417;37.937;
17;North Kalimantan;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;8;8;8;15;15;16;16;16;16;16;16;16;20;28;47;50;69;74;77;77;77;77;83;89;90;92;92;100;115;122;122;130;131;131;131;131;131;131;132;132;138;138;141;153;155;155;160;160;162;163;163;164;164;164;165;165;165;165;165;165;165;165;165;167;168;169;169;170;170;170;170;170;170;170;171;171;171;173;7.68;
18;Riau Islands;1;3;4;4;4;5;5;5;5;5;5;5;6;7;7;7;8;8;9;9;9;9;22;21;21;21;21;26;32;38;58;79;79;79;81;81;83;83;83;85;86;89;89;89;89;89;92;92;97;98;98;100;101;101;104;106;111;111;115;116;116;127;140;140;140;141;150;154;154;154;162;175;178;196;197;197;209;209;219;223;227;228;228;228;228;238;238;239;239;254;254;263;263;263;22.422;
19;Lampung;1;1;1;1;1;1;1;1;3;4;4;4;8;8;8;8;12;11;11;12;12;15;15;20;20;20;21;21;20;25;26;26;26;26;27;27;38;38;38;42;42;44;46;46;50;50;50;54;55;63;63;66;66;66;66;66;66;66;66;66;67;83;84;85;101;105;105;109;116;116;118;118;131;132;133;135;136;136;140;141;143;144;145;148;150;152;153;165;166;166;166;169;171;172;85.212;
20;North Maluku;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;4;4;4;4;4;4;4;12;14;14;14;26;26;26;26;40;41;41;50;50;50;50;50;50;54;54;54;54;78;81;85;88;92;93;95;96;97;99;99;100;107;118;119;128;139;146;153;160;174;176;177;178;185;186;186;190;227;263;285;302;310;312;312;322;343;383;12.788;
21;Maluku;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;11;11;11;14;14;14;17;17;17;17;17;17;17;22;22;22;22;23;23;23;23;23;23;23;23;23;32;32;32;32;50;50;62;62;62;84;107;107;124;135;157;157;159;160;160;170;188;215;215;223;223;223;238;238;254;261;269;307;315;328;328;387;400;421;452;496;520;537;544;18.319;
22;West Nusa Tenggara;0;0;0;0;0;0;1;2;2;2;2;2;2;4;6;6;7;7;7;10;10;10;16;25;27;37;37;37;37;45;51;55;61;72;93;108;115;153;180;195;206;221;230;230;233;250;269;269;285;289;300;312;330;330;331;339;344;350;358;365;371;375;375;393;410;464;474;478;478;488;537;562;590;594;636;652;670;685;705;757;798;808;822;830;857;868;891;904;915;937;957;978;1008;1022;51.256;
23;East Nusa Tenggara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;10;10;12;12;12;12;12;12;12;16;19;19;19;47;59;68;71;76;79;79;79;79;82;85;85;85;90;91;92;97;97;97;97;97;97;97;103;103;105;105;105;105;108;108;108;108;108;108;55.414;
24;Papua;0;0;0;0;2;2;3;3;7;7;7;9;9;10;10;10;16;18;26;26;26;38;38;38;62;63;68;68;75;80;89;95;107;107;118;123;130;136;136;141;151;177;189;205;210;240;240;240;247;248;252;265;277;308;308;322;328;332;335;350;383;383;389;409;410;437;494;556;567;567;581;584;640;658;675;725;819;858;875;918;1005;1064;1090;1108;1137;1156;1197;1237;1249;1249;1281;1311;1350;1368;34.354;
25;Riau;1;2;1;1;1;1;2;1;2;1;1;2;3;3;3;7;10;10;11;12;12;12;12;13;16;16;20;20;20;24;26;30;30;34;35;35;36;36;38;39;39;40;41;41;42;45;53;58;61;61;66;69;71;73;74;81;88;94;95;95;99;101;106;107;108;109;110;111;111;111;111;111;117;117;117;117;117;117;117;117;118;118;118;120;120;120;120;125;125;126;126;128;134;142;71.283;
26;West Sulawesi;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;2;2;2;2;2;3;5;5;5;5;7;7;7;7;7;7;7;8;8;33;35;35;35;37;38;42;43;44;44;44;58;58;58;60;62;62;62;68;73;74;74;75;75;75;77;78;86;86;86;86;86;87;88;88;88;88;92;92;92;92;92;92;92;94;94;94;95;96;97;97;98;98;98;99;104;104;14.05;
27;South Sulawesi;0;2;2;2;2;2;4;13;27;29;33;47;50;50;66;66;82;82;83;113;127;127;138;167;178;222;223;231;242;271;332;343;370;370;374;387;397;420;432;440;440;453;465;491;547;577;601;607;640;665;684;708;710;722;722;747;803;840;871;917;951;1017;1064;1101;1135;1206;1264;1296;1319;1352;1381;1427;1468;1510;1541;1586;1630;1668;1722;1776;1840;1904;2014;2194;2383;2524;2582;2707;2840;2941;3116;3200;3366;3573;89.28;
28;Central Sulawesi;0;0;0;0;0;0;0;0;1;1;2;2;3;3;2;2;4;4;4;4;5;5;5;14;19;19;19;19;22;22;24;24;27;27;27;29;29;32;36;36;36;42;47;47;48;59;59;59;70;70;75;75;75;83;83;95;101;111;112;113;115;115;115;115;117;117;121;121;121;121;121;126;126;126;128;128;128;129;129;136;139;159;159;159;159;159;159;168;170;171;172;172;172;173;30.97;
29;Southeast Sulawesi;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;6;5;6;7;7;11;15;15;16;16;16;16;24;26;27;28;37;37;37;37;37;41;41;45;45;45;53;62;62;64;64;64;69;69;69;70;71;76;76;76;167;166;183;189;191;191;202;202;202;211;215;215;215;215;226;240;241;241;244;244;244;251;252;257;257;259;259;263;266;272;277;279;283;286;291;292;326;329;27.556;
30;North Sulawesi;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;3;3;3;3;5;8;8;8;13;13;17;17;17;18;18;18;20;20;20;20;20;31;36;36;40;40;43;44;45;45;45;45;45;45;45;45;47;53;71;71;74;82;83;105;114;114;116;126;152;180;198;201;230;239;265;281;297;306;322;339;339;354;377;382;391;470;495;510;551;546;579;644;651;658;676;701;736;761;784;25.288;
31;West Sumatera;0;0;0;0;0;0;0;0;3;5;5;5;8;8;8;8;8;8;8;18;18;18;18;31;31;44;45;48;55;55;62;71;72;74;76;81;86;96;97;102;121;144;145;148;172;182;195;203;221;238;252;270;286;299;299;319;339;371;393;396;408;409;420;428;436;438;443;478;478;513;537;541;541;552;567;567;574;583;594;607;618;626;626;645;659;661;671;674;681;681;687;691;696;700;54.988;
32;South Sumatera;0;0;0;0;0;0;1;1;1;1;2;2;2;5;5;11;12;12;16;16;16;16;17;21;21;21;18;19;22;37;54;84;89;89;89;89;93;106;119;129;129;143;144;150;156;156;185;185;199;210;227;227;278;278;278;279;322;441;458;458;521;537;597;646;674;693;725;736;812;868;921;942;953;963;982;995;1019;1029;1056;1074;1104;1129;1158;1188;1229;1271;1304;1326;1396;1448;1498;1541;1596;1680;85.679;
33;North Sumatera;1;2;2;2;2;2;7;7;8;8;8;8;13;19;22;22;22;25;25;26;26;59;59;59;59;65;67;72;78;79;79;79;81;83;84;93;95;96;105;111;111;111;114;117;117;117;123;129;130;141;142;157;179;179;196;198;200;202;202;202;218;225;235;250;273;285;294;311;315;315;332;362;400;406;409;417;418;444;488;537;605;605;607;618;635;680;768;862;872;932;957;970;993;1024;147.035;
34;Yogyakarta;3;5;4;5;5;5;6;17;16;22;22;22;18;23;28;27;27;33;34;40;41;41;41;41;41;41;57;62;62;62;64;67;67;69;72;75;76;77;79;82;83;93;94;95;104;114;115;115;121;122;137;143;146;153;159;169;181;185;188;194;199;200;207;209;215;220;225;226;226;226;228;228;230;233;236;237;237;237;237;238;242;244;247;249;250;252;262;264;269;272;273;276;276;277;38.823;
