ID;Prov;18-Mar;19-Mar;20-Mar;21-Mar;22-Mar;23-Mar;24-Mar;25-Mar;26-Mar;27-Mar;28-Mar;29-Mar;30-Mar;31-Mar;01-Apr;02-Apr;03-Apr;04-Apr;05-Apr;06-Apr;07-Apr;08-Apr;09-Apr;10-Apr;11-Apr;12-Apr;13-Apr;14-Apr;15-Apr;16-Apr;17-Apr;18-Apr;19-Apr;20-Apr;21-Apr;22-Apr;23-Apr;24-Apr;25-Apr;26-Apr;27-Apr;28-Apr;29-Apr;30-Apr;01-May;02-May;03-May;04-May;05-May;06-May;07-May;08-May;09-May;10-May;11-May;12-May;13-May;14-May;15-May;16-May;17-May;18-May;19-May;20-May;21-May;22-May;23-May;24-May;25-May;26-May;27-May;28-May;29-May;30-May;31-May;01-Jun;02-Jun;03-Jun;04-Jun;05-Jun;06-Jun;07-Jun;08-Jun;09-Jun;10-Jun;11-Jun;12-Jun;13-Jun;14-Jun;15-Jun;16-Jun;17-Jun;18-Jun;19-Jun;poptot;pop100000;
4;Banten;0.129174423;0.205159378;0.281144333;0.326735306;0.357129288;0.425515748;0.493902207;0.509099198;0.509099198;0.638273622;0.782645036;0.805440523;0.972607424;1.078986361;1.154971316;1.246153262;1.291744235;1.314539721;1.344933703;1.420918658;1.474108127;1.610881046;1.656472019;1.846434406;2.119980244;2.135177235;2.165571217;2.127578739;2.135177235;2.256753163;2.3631321;2.439117055;2.461912541;2.591086965;2.591086965;2.560692983;2.560692983;2.727859884;2.811443334;2.811443334;2.90262528;2.948216253;2.948216253;3.069792181;3.176171118;3.244557578;3.282550055;3.388928992;3.480110938;3.700467307;3.761255271;3.837240226;3.974013145;4.0499981;4.110786064;4.247558983;4.407127389;4.50590783;4.7262642;4.756658182;4.939022074;5.144181452;5.303749858;5.311348353;5.72166711;5.835644542;5.835644542;5.995212948;5.995212948;6.131985867;6.207970822;6.314349759;6.420728696;6.519509137;6.542304624;6.587895597;6.709471525;7.248964705;7.332548155;7.514912047;7.788457885;7.86444284;7.955624786;8.062003723;8.327951066;8.517913453;8.791459291;9.353747958;9.422134417;9.444929904;9.703278751;9.946430607;10.08320353;10.11359751;;;
5;Bengkulu;0;0;0;0;0;0;0;0;0;0;0;0;0;0.049509852;0.049509852;0.049509852;0.099019705;0.099019705;0.099019705;0.099019705;0.099019705;0.099019705;0.19803941;0.19803941;0.19803941;0.19803941;0.19803941;0.19803941;0.19803941;0.19803941;0.19803941;0.19803941;0.19803941;0.19803941;0.39607882;0.39607882;0.39607882;0.39607882;0.39607882;0.39607882;0.39607882;0.39607882;0.59411823;0.59411823;0.59411823;0.59411823;0.59411823;0.59411823;0.59411823;0.693137934;0.693137934;0.693137934;1.831864541;1.831864541;1.831864541;1.980394098;1.980394098;2.079413803;2.62402218;2.772551738;3.21814041;3.267650262;3.317160115;3.317160115;3.41617982;3.41617982;3.41617982;3.41617982;3.41617982;3.41617982;3.41617982;3.515199525;3.564709377;4.257847312;4.505396574;4.505396574;4.554906426;4.554906426;4.554906426;4.554906426;4.554906426;4.554906426;4.554906426;4.554906426;4.554906426;4.554906426;4.703435984;4.851965541;5.000495099;5.000495099;5.149024656;5.198534508;5.198534508;5.297554213;;;
6;Gorontalo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081994096;0.081994096;0.081994096;0.081994096;0.081994096;0.081994096;0.327976386;0.327976386;0.327976386;0.327976386;0.327976386;0.573958675;0.573958675;0.573958675;0.983929157;1.14791735;1.229911446;1.14791735;1.229911446;1.229911446;1.229911446;1.229911446;1.229911446;1.229911446;1.229911446;1.229911446;1.229911446;1.557887832;1.557887832;1.557887832;1.557887832;1.557887832;1.557887832;1.557887832;1.721876025;1.803870121;1.885864218;1.967858314;2.2958347;2.2958347;2.2958347;3.607740243;3.853722532;4.017710725;4.755657593;4.755657593;4.755657593;4.919645786;5.329616268;5.575598557;5.657592653;7.707445064;7.707445064;8.855362414;9.675303378;9.921285667;9.921285667;10.33125615;10.98720892;10.98720892;11.3971794;11.88914398;12.21712037;14.84093145;15.16890784;15.16890784;17.05477206;17.54673663;17.54673663;17.54673663;18.03870121;;;
7;West Papua;0;0;0;0;0;0;0;0;0;0.203707476;0.203707476;0.203707476;0.203707476;0.203707476;0.203707476;0.203707476;0.203707476;0.203707476;0.203707476;0.203707476;0.203707476;0.203707476;0.203707476;0.203707476;0.203707476;0.305561214;0.203707476;0.203707476;0.203707476;0.50926869;0.50926869;0.50926869;0.712976166;0.712976166;0.712976166;0.814829904;1.324098594;1.52780607;1.629659809;1.629659809;1.629659809;3.768588307;3.768588307;3.768588307;4.277856997;4.379710735;4.379710735;4.379710735;4.990833164;5.398248116;5.398248116;5.398248116;5.398248116;7.129761662;7.129761662;7.129761662;7.129761662;8.963128947;8.963128947;10.38908128;10.69464249;10.69464249;10.69464249;10.79649623;11.20391118;12.12059483;13.13913221;13.24098594;13.24098594;13.44469342;13.44469342;15.48176818;16.09289061;16.50030556;17.11142799;17.11142799;17.51884294;17.51884294;17.62069668;17.82440416;18.12996537;18.23181911;18.23181911;18.63923406;19.45406396;19.86147892;20.37074761;20.8800163;21.18557751;21.28743125;21.59299246;21.79669994;22.30596863;22.61152984;;;
8;Jakarta;1.484264913;1.972757163;2.019727572;2.508219822;2.883983091;3.31611085;3.983090653;4.34945984;4.83795209;5.617660874;5.890089244;6.341005167;6.557069047;7.017379051;7.590418037;8.42649131;9.121653358;9.657116017;10.55894786;11.57350869;12.86049789;13.80930014;16.02630343;16.46782527;18.29967121;19.20150305;20.53546266;21.93518084;23.2409582;25.08219822;26.44434007;27.46829497;28.4828558;29.09347111;30.62470643;31.78017849;33.03898544;33.80930014;34.60779709;35.6787224;36.34570221;37.59511508;38.44058243;39.22029122;40.55425082;41.30577736;41.92578675;42.63973697;44.03006106;44.80976984;45.60826679;46.54767496;47.49647722;48.75528417;49.5631752;50.49318929;52.17472992;53.43353687;54.2414279;55.24659465;56.45843119;56.91874119;57.82057304;58.58149366;59.19210897;60.12212306;61.20244246;62.32033819;63.02489432;63.86096759;64.77219352;65.76796618;66.96101456;67.90981682;69.02771254;70.31470174;70.84077031;71.61108502;72.24048849;72.9544387;73.9314232;75.46265853;76.28933772;78.48755284;79.87787694;81.25880695;82.10427431;83.2409582;84.34006576;85.67402536;86.6322217;87.82527008;89.39408173;90.69985909;;;
9;Jambi;0;0;0;0;0;0.027189429;0.027189429;0.027189429;0.027189429;0.027189429;0.027189429;0.027189429;0.054378858;0.054378858;0.054378858;0.054378858;0.054378858;0.054378858;0.054378858;0.054378858;0.054378858;0.054378858;0.054378858;0.054378858;0.108757715;0.108757715;0.108757715;0.135947144;0.163136573;0.190326001;0.21751543;0.21751543;0.21751543;0.21751543;0.353462574;0.353462574;0.380652003;0.489409718;0.570978004;0.87006172;0.87006172;0.87006172;0.87006172;0.87006172;0.87006172;0.87006172;1.033198293;1.033198293;1.169145436;1.277903151;1.277903151;1.277903151;1.685744583;1.74012344;1.767312869;1.767312869;1.767312869;1.794502298;1.876070584;2.147964871;2.1751543;2.202343729;2.283912015;2.419859159;2.419859159;2.474238016;2.474238016;2.582995731;2.637374589;2.637374589;2.637374589;2.637374589;2.637374589;2.637374589;2.637374589;2.637374589;2.637374589;2.637374589;2.691753446;2.746132304;2.800511161;2.800511161;2.800511161;2.800511161;2.854890019;2.854890019;2.882079448;2.936458305;2.936458305;2.936458305;2.936458305;2.963647734;2.963647734;3.04521602;;;
10;West Java;0.048061807;0.052066958;0.082105588;0.110141642;0.118151943;0.118151943;0.120154519;0.146187998;0.156200874;0.196252381;0.238306462;0.298383721;0.360463556;0.396509912;0.440566569;0.446574295;0.450579445;0.494636102;0.504648979;0.526677307;0.686883332;0.730939989;0.752968317;0.776999221;0.843084206;0.90115889;1.081390668;1.061364915;1.119439599;1.141467928;1.265627597;1.283650775;1.393792417;1.495923758;1.513946936;1.525962388;1.570019044;1.726219919;1.816335808;1.826348684;1.904449122;1.940495477;2.02059849;2.026606216;2.026606216;2.08868605;2.110714379;2.50722429;2.603347905;2.643399412;2.765556506;2.811615738;2.877700723;2.877700723;2.989844941;3.093978857;3.116007185;3.134030363;3.196110198;3.240166855;3.308254415;3.358318798;3.40437803;3.756831285;3.929052762;4.009155774;4.095266513;4.187384977;4.231441634;4.265485414;4.319554948;4.367616755;4.427694015;4.467745521;4.525820205;4.593907765;4.633959272;4.643972148;4.714062284;4.738093188;4.758118941;4.81419105;4.854242556;4.902304363;5.018453731;5.108569621;5.150623702;5.180662332;5.214706112;5.252755043;5.33085548;5.412961068;5.52310271;5.61722375;;;
11;Central Java;0.022896328;0.034344492;0.034344492;0.040068575;0.042930616;0.042930616;0.05437878;0.108757559;0.114481641;0.123067765;0.157412257;0.180308585;0.231825324;0.266169816;0.297652268;0.297652268;0.326272678;0.343444924;0.343444924;0.377789417;0.380651458;0.400685745;0.412133909;0.412133909;0.412133909;0.572408207;0.58099433;0.795647408;0.835715982;0.858612311;0.870060475;0.941611501;0.998852322;1.004576404;1.285056425;1.370917656;1.539778077;1.645673596;1.777327483;1.857464632;1.90611933;1.951911987;2.034911177;2.07211771;2.135082613;2.195185475;2.220943844;2.283908747;2.42987284;2.550078563;2.587285096;2.670284287;2.744697353;2.799076133;2.804800215;2.830558585;2.92786798;3.050935744;3.174003509;3.262726781;3.311381479;3.334277807;3.362898217;3.411552915;3.483103941;3.531758638;3.686308854;3.746411716;3.752135798;3.763583962;3.795066414;3.823686824;3.863755399;3.909548055;4.015443573;4.055512148;4.098442763;4.164269707;4.232958692;4.398957072;4.47623218;4.622196273;4.699471381;4.791056694;5.188880398;5.243259178;5.369188983;5.569531856;5.892942493;6.224939253;6.385213551;6.71434827;6.843140117;7.0721034;;;
12;East Java;0.020057012;0.022564139;0.037606898;0.065185289;0.102792187;0.102792187;0.127863452;0.127863452;0.147920464;0.165470349;0.193048741;0.225641386;0.228148512;0.233162765;0.260741157;0.260741157;0.388604609;0.381083229;0.471339783;0.47384691;0.486382542;0.491396795;0.559089211;0.641824386;0.669402777;0.967750832;1.103135663;1.190885091;1.251056127;1.288663025;1.308720037;1.391455211;1.479204639;1.479204639;1.511797284;1.599546712;1.664732001;1.72991729;1.93048741;1.968094308;1.9956727;2.148607417;2.186214314;2.401827194;2.592368808;2.599890188;2.800460308;2.818010194;2.93584514;3.061201465;3.176529284;3.219150435;3.557612514;3.765704014;3.850946315;4.18439414;4.442628171;4.670776683;4.81619002;5.277501297;5.395336243;5.75636246;5.959439707;6.257787762;7.516365268;7.844798841;9.013119793;9.183604395;9.742693607;9.885599817;10.38451799;10.81323663;11.0664564;11.56537458;12.17711344;12.34007667;12.87409461;13.33289876;13.55854015;13.91204499;14.62908317;14.91238846;15.82748964;16.37905747;17.06350301;17.80811958;18.60538581;19.04664007;19.53803687;20.21496103;20.82920702;21.39331049;22.35604706;22.70704477;;;
13;West Kalimantan;0.03894991;0.03894991;0.03894991;0.03894991;0.03894991;0.03894991;0.058424866;0.058424866;0.058424866;0.058424866;0.058424866;0.155799642;0.175274597;0.175274597;0.194749552;0.194749552;0.194749552;0.194749552;0.194749552;0.233699462;0.194749552;0.194749552;0.194749552;0.194749552;0.194749552;0.253174418;0.253174418;0.253174418;0.253174418;0.408974059;0.408974059;0.408974059;0.408974059;0.408974059;0.525823791;0.603723611;0.97374776;0.97374776;0.993222716;0.993222716;0.993222716;0.993222716;1.129547402;1.129547402;1.187972268;1.324296954;1.363246865;1.42167173;1.42167173;1.752745969;1.850120745;1.850120745;2.298044714;2.336994625;2.336994625;2.395419491;2.512269222;2.512269222;2.512269222;2.551219132;2.570694087;2.570694087;2.570694087;2.570694087;2.590169043;2.726493729;3.271792475;3.271792475;3.408117161;3.427592117;3.563916803;3.583391758;3.583391758;3.583391758;3.680766534;3.817091221;3.817091221;3.933940952;3.933940952;3.992365818;4.089740594;4.089740594;4.089740594;4.557139519;4.771364026;4.771364026;5.19981304;5.19981304;5.219287996;5.219287996;5.258237906;5.491937369;5.491937369;5.764586741;;;
14;South Kalimantan;0;0;0;0;0.023234201;0.023234201;0.023234201;0.046468401;0.023234201;0.023234201;0.023234201;0.023234201;0.116171004;0.185873606;0.185873606;0.185873606;0.185873606;0.185873606;0.371747212;0.418215613;0.418215613;0.511152416;0.511152416;0.673791822;0.673791822;0.789962825;0.789962825;0.859665428;1.138475836;1.370817844;1.719330855;2.137546468;2.230483271;2.230483271;2.276951673;2.48605948;2.648698885;3.066914498;3.392193309;3.392193309;3.485130112;3.485130112;3.647769517;3.949814126;4.158921933;4.158921933;4.530669145;4.600371747;4.925650558;5.227695167;5.529739777;5.715613383;5.878252788;6.110594796;6.110594796;6.435873606;6.761152416;6.830855019;8.43401487;8.596654275;8.643122677;10.17657993;11.24535316;12.70910781;12.94144981;13.28996283;13.70817844;13.91728625;13.98698885;14.63754647;16.33364312;19.02881041;20.74814126;20.74814126;21.35223048;22.0260223;22.51394052;24.00092937;26.53345725;28.1830855;28.97304833;29.85594796;31.2964684;33.41078067;36.36152416;37.96468401;39.35873606;42.21654275;43.8429368;45.37639405;49.30297398;51.30111524;54.04275093;55.57620818;;;
15;Central Kalimantan;0;0;0.072223025;0.072223025;0.072223025;0.072223025;0.108334537;0.108334537;0.216669074;0.216669074;0.252780586;0.252780586;0.252780586;0.325003611;0.325003611;0.325003611;0.433338148;0.397226636;0.397226636;0.722230247;0.722230247;0.722230247;0.722230247;0.866676296;0.866676296;0.866676296;0.902787809;0.902787809;1.191679908;1.22779142;1.263902932;1.480572006;1.661129568;2.166690741;2.419471327;2.961144013;2.997255525;3.394482161;3.611151235;3.755597284;4.044489383;4.369492994;4.586162068;5.236169291;5.633395927;5.669507439;5.669507439;6.500072223;6.536183735;6.716741297;6.788964322;6.788964322;6.825075834;6.969521884;7.22230247;7.366748519;7.944532717;8.052867254;8.197313303;8.197313303;8.197313303;8.197313303;8.377870865;8.702874476;9.172324137;10.47233858;10.54456161;11.1223458;11.19456883;11.62790698;11.91679908;12.16957966;13.25292503;14.37238192;14.80572006;15.13072367;15.45572729;16.46684963;16.93629929;17.47797198;17.91131013;17.91131013;18.20020222;18.85020945;19.39188213;19.93355482;20.40300448;21.16134624;21.16134624;22.78636429;23.72526361;25.35028167;26.65029611;26.65029611;;;
16;East Kalimantan;0.026359491;0.079078472;0.263594907;0.237235417;0.237235417;0.289954398;0.289954398;0.289954398;0.289954398;0.289954398;0.448111342;0.448111342;0.448111342;0.527189815;0.553549305;0.553549305;0.579908796;0.632627778;0.790784722;0.817144213;0.817144213;0.843503704;0.843503704;0.922582176;0.922582176;0.922582176;0.922582176;0.922582176;0.922582176;1.159817592;1.159817592;1.4234125;1.555209953;1.660647916;1.79244537;1.818804861;1.950602314;2.240556712;2.556870601;2.767746527;2.820465509;3.031341434;3.136779397;3.532171758;3.58489074;4.059361573;4.270237499;4.402034953;4.428394443;4.797427314;4.797427314;5.509133564;5.640931017;5.74636898;5.930885415;6.009963887;6.062682869;6.273558795;6.616232174;6.668951156;6.695310647;6.721670137;6.80074861;6.958905554;7.011624535;7.143421989;7.222500461;7.275219443;7.275219443;7.301578933;10.01660648;7.407016896;7.512454859;7.670611804;7.776049767;7.828768748;7.855128239;8.171442128;8.329599072;8.355958563;8.61955347;8.672272452;8.909507868;9.252181248;9.542135646;9.621214118;9.832090044;9.911168516;9.963887498;10.06932546;10.33292037;10.46471782;10.67559375;10.99190764;;;
17;North Kalimantan;0;0;0;0;0;0;0;0;0;0;0.260416667;0.260416667;0.260416667;0.260416667;0.260416667;0.260416667;1.041666667;1.041666667;1.041666667;1.953125;1.953125;2.083333333;2.083333333;2.083333333;2.083333333;2.083333333;2.083333333;2.083333333;2.604166667;3.645833333;6.119791667;6.510416667;8.984375;9.635416667;10.02604167;10.02604167;10.02604167;10.02604167;10.80729167;11.58854167;11.71875;11.97916667;11.97916667;13.02083333;14.97395833;15.88541667;15.88541667;16.92708333;17.05729167;17.05729167;17.05729167;17.05729167;17.05729167;17.05729167;17.1875;17.1875;17.96875;17.96875;18.359375;19.921875;20.18229167;20.18229167;20.83333333;20.83333333;21.09375;21.22395833;21.22395833;21.35416667;21.35416667;21.35416667;21.484375;21.484375;21.484375;21.484375;21.484375;21.484375;21.484375;21.484375;21.484375;21.74479167;21.875;22.00520833;22.00520833;22.13541667;22.13541667;22.13541667;22.13541667;22.13541667;22.13541667;22.13541667;22.265625;22.265625;22.265625;22.52604167;;;
18;Riau Islands;0.044599055;0.133797164;0.178396218;0.178396218;0.178396218;0.222995273;0.222995273;0.222995273;0.222995273;0.222995273;0.222995273;0.222995273;0.267594327;0.312193382;0.312193382;0.312193382;0.356792436;0.356792436;0.401391491;0.401391491;0.401391491;0.401391491;0.981179199;0.936580145;0.936580145;0.936580145;0.936580145;1.159575417;1.427169744;1.694764071;2.586745161;3.523325306;3.523325306;3.523325306;3.612523415;3.612523415;3.701721524;3.701721524;3.701721524;3.790919633;3.835518687;3.969315851;3.969315851;3.969315851;3.969315851;3.969315851;4.103113014;4.103113014;4.326108287;4.370707341;4.370707341;4.45990545;4.504504505;4.504504505;4.638301668;4.727499777;4.95049505;4.95049505;5.128891268;5.173490322;5.173490322;5.664079922;6.24386763;6.24386763;6.24386763;6.288466685;6.689858175;6.868254393;6.868254393;6.868254393;7.225046829;7.804834538;7.938631701;8.741414682;8.786013737;8.786013737;9.321202391;9.321202391;9.767192936;9.945589154;10.12398537;10.16858443;10.16858443;10.16858443;10.16858443;10.61457497;10.61457497;10.65917403;10.65917403;11.32815984;11.32815984;11.72955133;11.72955133;11.72955133;;;
