ID;Prov;case_mar;case_apr;case_may;case_jun;case_jul;case_chg;rate_mar;rate_apr;rate_may;rate_jun;rate_jul;rate_chg;pop100000;job_loss;unemp;mob_retail;mob_groc;mob_parks;mob_trans;mob_work;mob_all;THS_share_gdp;gdp_q1_yoy;gdp_q2_yoy;gdp_q2_qtq
1;Aceh;5;10;20;80;415;75;0.091576769;0.183153538;0.366307075;1.465228301;7.600871811;1.373651532;54.599;15658;5.42;-16;-3;-17;-43;-19;-20;2.288690711;3.17;-1.82;-1.28
2;Bali;19;222;465;1493;3407;1474;0.433710738;5.067567568;10.61449963;34.08053324;77.77118335;33.6468225;43.808;97105;1.21;-44;-34;-60;-75;-39;-50;30.2196395;-1.14;-10.98;-7.22
3;Bangka Belitung;2;10;46;152;193;150;0.131787032;0.658935161;3.03110174;10.01581444;12.7174486;9.884027412;15.176;18803;3.41;-30;-8;-25;-64;-22;-30;8.16654099;1.35;-4.98;-2.38
4;Banten;142;404;861;1453;1835;1311;1.078986361;3.069792181;6.542304624;11.04061396;13.94323924;9.961627598;131.605;67736;8.01;-31;-12;-20;-62;-32;-32;11.57239572;3.19;-7.4;-8.55
5;Bengkulu;1;12;91;125;217;124;0.049509852;0.59411823;4.505396574;6.188731558;10.74363798;6.139221705;20.198;7603;3.22;-22;-9;-27;-53;-23;-27;13.0319127;3.8;-0.48;-2.98
6;Gorontalo;0;15;94;249;1015;249;0;1.229911446;7.707445064;20.41653001;83.22400787;20.41653001;12.196;10201;3.59;-30;-17;-13;-46;-26;-26;9.773234209;4.05;-0.27;-3.77
7;West Papua;2;37;168;239;433;237;0.203707476;3.768588307;17.11142799;24.34304339;44.10266857;24.13933591;9.818;7848;6.2;-31;-16;-35;-62;-24;-34;3.68737462;5.14;0.53;-2.75
8;Jakarta;747;4175;7348;11424;21399;10677;7.017379051;39.22029122;69.02771254;107.3179897;201.0239549;100.3006106;106.45;320114;4.93;-27;-3;-77;-45;-33;-37;20.97214712;5.06;-8.22;-11.38
9;Jambi;2;32;97;117;162;115;0.054378858;0.87006172;2.637374589;3.181163164;4.404687458;3.126784306;36.779;16900;4.41;-10;3;-7;-27;-17;-12;6.486996482;1.87;-1.72;-1.41
10;West Java;198;1012;2260;3218;6532;3020;0.396509912;2.026606216;4.525820205;6.444287354;13.08082194;6.047777442;499.357;342772;7.69;-23;9;-2;-29;-25;-14;10.17199083;2.73;-5.98;-4.95
11;Central Java;93;724;1403;3833;9516;3740;0.266169816;2.07211771;4.015443573;10.97020329;27.2351825;10.70403347;349.401;263980;4.25;-6;2;-9;-34;-20;-13;9.039716496;2.61;-5.94;-5.17
12;East Java;93;958;4857;12136;22089;12043;0.233162765;2.401827194;12.17711344;30.42648729;55.37991742;30.19332452;398.863;161217;3.69;-11;-1;-14;-37;-23;-17;10.72683236;3.02;-5.9;-5.45
13;West Kalimantan;9;58;189;321;387;312;0.175274597;1.129547402;3.680766534;6.251460622;7.536807665;6.076186025;51.348;18645;4.56;-19;-6;-11;-36;-20;-18;8.169180569;2.69;-3.4;-8.26
14;South Kalimantan;8;170;919;3148;6098;3140;0.185873606;3.949814126;21.35223048;73.14126394;141.6821561;72.95539033;43.04;27994;3.8;-16;-8;-19;-38;-23;-21;9.941436291;4.18;-2.61;-0.02
15;Central Kalimantan;9;145;410;894;1729;885;0.325003611;5.236169291;14.80572006;32.28369204;62.43680485;31.95868843;27.692;12371;3.39;-17;-9;-20;-23;-17;-17;9.225559253;2.95;-3.15;-5.62
16;East Kalimantan;20;134;295;518;1426;498;0.527189815;3.532171758;7.776049767;13.6542162;37.58863379;13.12702639;37.937;46689;6.88;-11;3;-5;-34;-17;-13;4.563968757;1.27;-5.46;-6.53
17;North Kalimantan;2;100;165;206;283;204;0.260416667;13.02083333;21.484375;26.82291667;36.84895833;26.5625;7.68;8721;5.65;-13;5;-10;-25;-12;-11;8.737233367;5.01;-3.35;-6.95
18;Riau Islands;7;89;197;293;447;286;0.312193382;3.969315851;8.786013737;13.06752297;19.93577736;12.75532959;22.422;42102;5.57;-16;-7;-14;-57;-16;-22;9.985399303;2.06;-6.66;-7.55
19;Lampung;8;46;133;190;255;182;0.093883491;0.539830071;1.560813031;2.229732901;2.992536262;2.135849411;85.212;27571;4.28;-6;8;-12;-30;-23;-13;7.856540232;1.74;-3.57;-0.56
20;North Maluku;1;40;153;728;1530;727;0.078198311;3.127932437;11.96434157;56.92837035;119.6434157;56.85017204;12.788;3567;4.26;-22;5;-20;-31;-15;-17;7.443487419;3.06;-0.16;-1.35
21;Maluku;1;23;223;742;1093;741;0.054588133;1.255527048;12.17315356;40.50439434;59.66482887;40.44980621;18.319;14365;7.02;-47;-38;-31;-57;-31;-41;14.10763344;4;-0.92;-2.61
22;West Nusa Tenggara;4;230;636;1234;2065;1230;0.078039644;4.487279538;12.40830342;24.07523022;40.28796629;23.99719057;51.256;48448;3.14;-17;-6;-18;-53;-19;-23;11.29310301;3.02;-1.41;0.52
23;East Nusa Tenggara;0;3;92;113;145;113;0;0.054137943;1.660230267;2.039195871;2.616667268;2.039195871;55.414;22865;2.8;-11;-3;0;-27;-9;-10;8.476990434;2.98;-1.96;0.92
24;Papua;10;205;675;1750;3059;1740;0.291086919;5.96728183;19.648367;50.94021075;89.04348839;50.64912383;34.354;4525;3.62;-24;-15;-17;-38;-15;-22;8.894309168;1.48;4.52;3.45
25;Riau;3;41;117;226;445;223;0.042085771;0.575172201;1.641345061;3.1704614;6.242722669;3.12837563;71.283;156146;5.07;-9;-3;-7;-39;-17;-15;1.886086558;2.24;-3.22;-4.49
26;West Sulawesi;1;42;92;115;230;114;0.071174377;2.989323843;6.548042705;8.185053381;16.37010676;8.113879004;14.05;6115;2.61;-10;-3;-20;-42;-12;-17;3.961458747;4.9;-0.78;-1.27
27;South Sulawesi;50;491;1541;5084;9422;5034;0.560035842;5.499551971;17.26030466;56.94444444;105.5331541;56.3844086;89.28;41908;6.07;-20;-5;-10;-52;-26;-23;7.004385302;3.07;-3.87;-0.41
28;Central Sulawesi;3;47;128;189;207;186;0.096867937;1.517597675;4.133031966;6.102680013;6.683887633;6.005812076;30.97;23348;2.98;-9;-2;-5;-38;-14;-14;5.169309979;4.92;-0.06;0.71
29;Southeast Sulawesi;3;62;244;363;782;360;0.108869212;2.24996371;8.854695892;13.17317463;28.37857454;13.06430541;27.556;34454;3.17;-12;1;-15;-35;-14;-15;6.848867855;4.37;-2.39;-0.11
30;North Sulawesi;2;45;339;1109;2580;1107;0.079088896;1.779500158;13.40556786;43.85479279;102.0246757;43.77570389;25.288;29557;5.57;-30;-9;-20;-40;-24;-25;13.10651551;4.28;-3.89;-3.16
31;West Sumatera;8;148;567;726;948;718;0.145486288;2.691496326;10.31134066;13.20288063;17.24012512;13.05739434;54.988;39411;5.22;-7;6;-2;-31;-22;-11;15.53546486;3.9;-4.91;-5.5
32;South Sumatera;5;150;982;2049;3417;2044;0.058357357;1.750720713;11.46138494;23.91484494;39.88141785;23.85648759;85.679;56867;3.86;-13;-2;1;-41;-22;-15;4.475351963;4.98;-1.37;-2.3
33;North Sumatera;19;117;409;1551;3931;1532;0.129220934;0.795728908;2.781650627;10.54850886;26.73513109;10.41928792;147.035;108407;4.73;-19;-7;-16;-36;-22;-20;8.666738582;4.65;-2.37;-4.75
34;Yogyakarta;23;95;236;313;674;290;0.592432321;2.447003065;6.078870772;8.062231152;17.3608428;7.469798831;38.823;34728;3.38;-24;-17;-34;-57;-32;-33;18.97078154;-0.17;-6.74;-6.65
